approval_number,predicate_number,sample_size,num_sites,significance,severity,risk_level,body_area,modality,keywords,indications_for_use,inc_exc_criteria,has_demographics,is_prospective,subtype_analysis,image_acquisition,device_classification_name,device_name,applicant_name,applicant_contact,correspondent_name,regulation_number,classification_product_code,date_received,decision_date,decision,regulation_medical_specialty,review_panel,summary_link,type,reviewed_by_third_party,combination_product,classification_advisory,review_advisory,reclass_link
k182901,k173468;k141741,nan,nan,1,1,2,Multi,CT,neural network,this device is indicated to acquire and display cross sectional volumes of the whole body to include the head the aquilion precision has the capability to provide volume sets these volume sets can be used to perform specialized studies using indicated software hardware by a trained and qualified physician first 3 0 is an iterative reconstruction algorithm intended to reduce exposure dose and improve high contrast spatial resolution for abdomen pelvis chest cardiac extremities and head applications aice is a noise reduction algorithm that improves image quality and reduces image noise by employing deep convolutional neural network methods for abdomen and pelvis applications,0,0,0,,,"system, x-ray, tomography, computed",aquilion precision (tsx-304a/1 and /2) v8.8 with aice,paul  biggins,paul  biggins,orlando  tadeo jr.,892.175,jak,10/16/18,7/5/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k182901.pdf,traditional,no,no,,,
k183019,k162830;k173475,45,nan,1,2,3,Brain,MR,machine learning,sis software is an application intended for use in the viewing presentation and documentation of medical imaging including different modules for image processing image fusion and intraoperative functional planning where the 3d output can be used with stereotactic image guided surgery or other devices for further processing and visualization the device can be used in conjunction with other clinical methods as an aid in visualization of the subthalamic nuclei stn typical users of the sis software are medical professionals including but not limited to surgeons neurologists and radiologists,0,0,0,,,"system, image processing, radiological",sis software version 3.3.0,ann  quinlan-smith,ann  quinlan-smith,janice m. hogan,892.205,llz,10/31/18,3/19/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183019.pdf,traditional,no,no,,,
k183046,k170177,nan,nan,1,1,2,Body,CT,neural network,,0,0,0,0,,"system, x-ray, tomography, computed",aquilion one (tsx-305a/6) v8.9 with aice,paul  biggins,paul  biggins,"orlando  tadeo, jr.",892.175,jak,11/2/18,6/12/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183046.pdf,traditional,no,no,,,
k183182,k190362,804,nan,1,2,3,Chest,X-Ray,deep learning;artificial intelligence,critical care suite is a computer aided triage and notification device that analyzes frontal chest x ray images for the presence of prespecified critical findings pneumothorax critical care suite identifies images with critical findings to enable case prioritization or triage in the pacs workstation critical care suite is intended for notification only and does not provide diagnostic information beyond the notification critical care suite should not be used in lieu of full patient evaluation or solely relied upon to make or confirm a diagnosis it is not intended to replace the review of the x ray image by a qualified physician critical care suite is indicated for adult size patients,0,0,0,1,vendors,radiological computer-assisted prioritization software for lesions,critical care suite,camille  vidal,camille  vidal,camille  vidal,892.208,qfm,11/19/18,8/12/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183182.pdf,traditional,no,no,,,
k183231,k171128,nan,nan,1,2,3,Multiple,MR,deep learning,the signa premier system is a whole body magnetic resonance scanner designed to support high resolution high signal to noise ratio and short scan times it is indicated for use as a diagnostic imaging device to produce axial sagittal coronal and oblique images spectroscopic images parametric maps and or spectra dynamic images of the structures and or functions of the entire body including but not limited to head neck tmj spine breast heart abdomen pelvis joints prostate blood vessels and musculoskeletal regions of the body depending on the region of interest being imaged contrast agents may be used the images produced by the signa premier system reflect the spatial distribution or molecular environment of nuclei exhibiting magnetic resonance these images and or spectra when interpreted by a trained physician yield information that may assist in diagnosis,0,0,0,,,"system, nuclear magnetic resonance imaging",signa premier,brian r. zielski,brian r. zielski,brian r. zielski,892.1,lnh,11/20/18,1/18/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183231.pdf,traditional,no,no,,,
k183268,k113027;k123585;k990426,381,1,1,1,2,Heart,CT,deep learning,ai rad companion cardiovascular is image processing software that provides quantitative and qualitative analysis from previously acquired computed tomography dicom images to support radiologists and physicians from emergency medicine specialty care urgent care and general practice in the evaluation and assessment of cardiovascular diseases it provides the following functionality segmentation and volume measurement of the heart quantification of the total calcium volume in the coronary arteries segmentation of the aorta measurement of maximum diameters of the aorta at typical landmarks threshold based highlighting of enlarged diameters the software has been validated for non cardiac chest ct data with filtered backprojection reconstruction from siemens healthineers ge healthcare philips and toshiba canon additionally the calcium detection feature has been validated on non cardiac chest ct data with iterative reconstruction from siemens healthineers only dicom images of adult patients are considered to be valid input,0,0,0,0,slice thickness|vendors,"system, x-ray, tomography, computed",ai-rad companion (cardiovascular),kimberly  rendon,kimberly  rendon,kimberly  rendon,892.175,jak,11/23/18,9/10/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183268.pdf,traditional,no,no,,,
k183271,k093621;k143196;k123540,4500,>1,1,2,3,Chest,CT,deep learning,ai rad companion pulmonary is image processing software that provides quantitative and qualitative analysis from previously acquired computed tomography dicom images to support radiologists and physicians from emergency medicine specialty care urgent care and general practice in the evaluation and assessment of disease of the lungs it provides the following functionality segmentation and measurements of complete lung and lung lobes identification of areas with lower hounsfield values in comparison to a predefined threshold for complete lung and lung lobes providing an interface to external medical device syngo ct lung cad segmentation and measurements of found lung lesions and dedication to corresponding lung lobe the software has been validated for data from siemens healthineers filtered backprojection and iterative reconstruction ge healthcare filtered backprojection reconstruction and philips filtered backprojection reconstruction only dicom images of adult patients are considered to be valid input,0,1,0,1,vendors|technical parameters,"system, x-ray, tomography, computed",ai-rad companion (pulmonary),kimberly  mangum,kimberly  mangum,kimberly  rendon,892.175,jak,11/23/18,7/26/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183271.pdf,traditional,no,no,,,
k183285,den170073,1255,>1,1,2,3,Breast,FFDM,machine learning;artificial intelligence,,0,0,0,1,,radiological computer-assisted prioritization software for lesions,cmtriage,kevin  harris,kevin  harris,kevin  harris,892.208,qfm,11/26/18,3/8/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183285.pdf,traditional,no,no,,,
k183460,k160852,nan,nan,1,1,2,Multi,CT,deep learning,clarict ai is a software device intended for networking communication processing and enhancement of ct images in dicom format regardless of the manufacturer of ct scanner or model,0,1,0,,Datasets with varying scan conditions using scanners from different vendors for different organs,"system, image processing, radiological",clarict.ai,hyun-sook  park,hyun-sook  park,carl  alletto,892.205,llz,12/13/18,6/13/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183460.pdf,traditional,no,no,,,
k183489,k173619;k161841,nan,nan,1,1,2,Multiple,nan,neural network;deep learning,,0,0,0,,,"system, image processing, radiological",d2p,kim  torluemke,kim  torluemke,kim  torluemke,892.205,llz,12/17/18,8/29/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf18/k183489.pdf,traditional,no,no,,,
k190072,K180647,184,3,1,2,3,Head,CT,,,0,0,0,0,,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,1/15/19,4/15/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190072.pdf,traditional,no,no,,,
k190362,k183285,588,nan,1,2,3,Chest,X-Ray,artificial intelligence,The Zebra Pneumothorax device is a software workflow tool designed to aid the clinical assessment of adult Chest X-Ray cases with features suggestive of Pneumothorax in the medical care environment. HealthPNX analyzes cases using an artificial intelligence algorithm to identify suspected findings. It makes case-level output available to a PACS/workstation for worklist prioritization or triage. HealthPNX is not intended to direct attention to specific portions or anomalies of an image. Its results are not intended to be used on a stand-alone basis for clinical decision-making nor is it intended to rule out Pneumothorax or otherwise preclude clinical assessment of X-Ray cases.,0,0,0,0,,radiological computer-assisted prioritization software for lesions,healthpnx,flair  bar,flair  bar,flair  bar,892.208,qfm,2/15/19,5/6/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190362.pdf,traditional,no,no,,,
k190387,k180379,nan,nan,1,2,3,Multi,"CT,PET,MR",machine learning,raystation is a software system designed for treatment planning and analysis of radiation therapy the treatment plans provide treatment unit set up parameters and estimates of dose distributions expected during the proposed treatment and may be used to administer treatments after review and approval by the intended user the system functionality can be configured based on user needs the intended users of raystation shall be clinically qualified radiation therapy staff trained in using the system,0,0,0,,,"system, planning, radiation therapy treatment",raystation,david  hedfors,david  hedfors,david  hedfors,892.505,muj,2/19/19,6/19/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190387.pdf,traditional,no,no,,,
k190424,k182177,427,nan,1,2,3,Head,CT,artificial intelligence,the zebra head ct triage device is a software workflow tool designed to aid the clinical assessment of adult non contrast head ct cases with features suggestive of intracranial hemorrhage in the medical care environment healthich analyzes cases using an artificial intelligence algorithm to identify suspected findings it makes case level output available to a pacs workstation for worklist prioritization or triage healthich is not intended to direct attention to specific portions of an image or to anomalies other than intracranial hemorrhage its results are not intended to be used on a stand alone basis for clinical decision making nor is it intended to rule out hemorrhage or otherwise preclude clinical assessment of ct cases,0,0,0,0,,radiological computer-assisted triage and notification software,healthich,flair  bar,flair  bar,flair  bar,892.208,qas,2/22/19,6/13/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190424.pdf,traditional,no,no,,,
k190442,k161959;den270022;den170022,900,nan,2,2,4,Breast,Ultrasound,machine learning;artificial intelligence,koios decision support ds for breast is a software application designed to assist trained interpreting physicians in analyzing the breast ultrasound images of patients with soft tissue breast lesions who are being referred for further diagnostic ultrasound examination koios ds for breast is a machine learning based decision support system indicated as an adjunct to diagnostic ultrasound for breast cancer koios ds for breast automatically classifies user selected region s of interest rois containing a breast lesion into four bi rads aligned categories benign probably benign suspicious probably malignant and displays a continuous graphical confidence level indicator of where the lesion falls across all categories koios ds for breast also automatically classifies lesion shape and orientation according to bi rads descriptors the software requires a user to select up to two rois from up to two orthogonal views that represent a single lesion to be selected and processed when utilized by an interpreting physician who has completed the prescribed training this device provides information that may be useful in rendering an accurate diagnosis patient management decisions should not be made solely on the results of the koios ds for breast analysis this device is intended to help trained interpreting physicians improve their overall accuracy as well as reduce inter and intra operator variability koios ds for breast may also be used as an image viewer of multi modality digital images including ultrasound and mammography the software includes tools that allow users to adjust measure and document images and output into a structured report limitations koios ds for breast is not to be used on sites of post surgical excision or images with doppler elastography or other overlays present in them koios ds for breast is not intended for the primary interpretation of digital mammography images koios ds for breast is not intended for use on mobile devices,0,1,0,0,,computer-assisted diagnostic software for lesions suspicious for cancer,koios ds for breast,lev  barinov,lev  barinov,lev  barinov,892.206,pok,2/25/19,7/3/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190442.pdf,traditional,no,no,,,
k190868,k122429;k043111,nan,nan,2,1,3,Heart,CT,machine learning,cleerly labs is a web based software application that is intended to be used by trained medical professionals as an interactive tool for viewing and analyzing cardiac computed tomography ct data for determining the presence and extent of coronary plaques and stenosis in patients who underwent coronary computed tomography angiography ccta for evaluation of cad or suspected cad this software post processes ct images obtained using any computed tomography ct scanner the software provides tools for the measurement and visualization of coronary arteries the software is not intended to replace the skill and judgment of a qualified medical practitioner and should only be used by people who have been appropriately trained in the software s functions capabilities and limitations users should be aware that certain views make use of interpolated data this is data that is created by the software based on the original data set interpolated data may give the appearance of healthy tissue in situations where pathology that is near or smaller than the scanning resolution may be present,0,0,0,,,"system, image processing, radiological",cleerly labs,kimberly  elmore,kimberly  elmore,kimberly  elmore,892.205,llz,4/3/19,11/5/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190868.pdf,traditional,no,no,,,
k190896,k180647,186,3,1,1,2,Cervical Spine,CT,deep learning;artificial intelligence,briefcase is a radiological computer aided triage and notification software indicated for use in the analysis of cervical spine ct images the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of linear lucencies in the cervical spine bone in patterns compatible with fractures briefcase uses an artificial intelligence algorithm to analyse images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of briefcase are intended to be used in conjunction with other patient information and based on their professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,0,0,0,0,,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,4/5/19,5/31/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k190896.pdf,traditional,no,no,,,
k191171,k150122;k173780,378,nan,1,1,2,Heart,Echocardiogram,machine learning,echogo core is intended to be used for quantification and reporting of results of cardiovascular function to support physician diagnosis echogo core is indicated for use in adult populations,0,1,0,0,,automated radiological image processing software,echogo core,melissa  clark,melissa  clark,melissa  clark,892.205,qih,5/1/19,11/13/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191171.pdf,traditional,no,no,,,
k191194,k142897;k181444,20,nan,1,1,2,Eye,AF Camera,deep learning,the clarus 700 ophthalmic camera is indicated to capture display annotate and store images to aid in the diagnosis and monitoring of diseases and disorders occurring in the retina ocular surface and visible adnexa it provides true color and autofluorescence imaging modes for stereo widefield ultra widefield and montage fields of view the clarus 700 angiography is indicated as an aid in the visualization of vascular structures of the retina and the choroid,0,1,1,,,"camera, ophthalmic, slit-scanning",clarus,saurabh  jamkhindikar,saurabh  jamkhindikar,saurabh  jamkhindikar,886.112,qer,5/3/19,6/25/19,substantially equivalent     (sese),ophthalmic,ophthalmic,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191194.pdf,traditional,no,no,,,
k191278,k173744,nan,nan,1,1,2,Prostate,MR,deep learning;artificial intelligence,,0,0,0,0,,"system, image processing, radiological",rsi-mri+,stephen  kosnosky,stephen  kosnosky,stephen  kosnosky,892.205,llz,5/13/19,11/19/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191278.pdf,traditional,no,no,,,
k191556,k190362,888,4,1,2,3,Chest,X-Ray,artificial intelligence,The red dot™ software platform is a software workflow tool designed to aid the clinical assessment of adult Chest XRay cases with features suggestive of Pneumothorax in the medical care environment. red dot™ analyzes cases using an artificial intelligence algorithm to identify suspected findings. It makes case-level output available to a PACS/workstation for worklist prioritization or triage. red dot™ is not intended to direct attention to specific portions of an image or to anomalies other than Pneumothorax. Its results are not intended to be used on a stand-alone basis for clinical decision-making nor is it intended to rule out Pneumothorax or otherwise preclude clinical assessment of X-Ray cases.,0,0,0,0,,radiological computer-assisted prioritization software for lesions,red dot,simon  rasalingham,simon  rasalingham,john j. smith,892.208,qfm,6/12/19,2/28/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191556.pdf,traditional,no,no,,,
k191647,k150122;k181264,nan,nan,1,1,2,Heart,Ultrasound,machine learning,QLAB Advanced Quantification Software is a software application package. It is designed to view and quantify image data acquired on Philips ultrasound systems.,0,0,0,,,automated radiological image processing software,qlab advanced quantification software,eri  gremi,eri  gremi,eri  gremi,892.205,qih,6/20/19,12/20/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191647.pdf,traditional,no,no,,,
k191688,k172768,nan,nan,1,1,2,Multiple,MR,neural network,,0,0,0,0,,"system, image processing, radiological",subtlemr,ajit  shankaranarayanan,ajit  shankaranarayanan,jared  seehafer,892.205,llz,6/24/19,9/16/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191688.pdf,traditional,no,no,,,
k191928,k182624,nan,nan,1,1,2,Multi,CT,deep learning,it is used by radiation oncology department to register multimodality images and segment non contrast ct images to generate needed information for treatment planning treatment evaluation and treatment adaptation,0,0,0,,,radiological image processing software for radiation therapy,accucontour,lu  xie,lu  xie,diana  hong,892.205,qkb,7/19/19,2/28/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191928.pdf,traditional,no,no,,,
k191994,k182373,1016,nan,2,2,4,Breast,DBT,deep learning,profound ai v2 1 software is a computer assisted detection and diagnosis cad software device intended to be used concurrently by interpreting physicians while reading digital breast tomosynthesis dbt exams from compatible dbt systems the system detects soft tissue densities masses architectural distortions and asymmetries and calcifications in the 3d dbt slices the detections and certainty of finding and case scores assist interpreting physicians in identifying soft tissue densities and calcifications that may be confirmed or dismissed by the interpreting physician,0,0,0,0,,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,profound ai software v2.1,heather  reed,heather  reed,heather  reed,892.209,qdq,7/26/19,10/4/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k191994.pdf,traditional,no,no,,,
k192004,k151319;k182119;k180234;k073545;k131044;k170874;k170798,375,>1,1,1,2,Heart,ECG,neural network,the eko analysis software is intended to provide support to the physician in the evaluation of patients heart sounds and ecg s the software analyzes simultaneous ecg and heart sounds the software will detect the presence of suspected murmurs in the heart sounds the software also detects the presence of atrial fibrillation and normal sinus rhythm from the ecg signal in addition it calculates certain cardiac time intervals such as heart rate qrs duration and emat the software does not distinguish between different kinds of murmurs and does not identify other arrhythmias it is not intended as a sole means of diagnosis the interpretations of heart sounds and ecg offered by the software are only significant when used in conjunction with physician over read and is for use on adults 18 years,0,1,0,1,,"monitor, physiological, patient (without arrhythmia detection or alarms)",eko analysis software,connor  landgraf,connor  landgraf,yarmela  pavlovic,870.23,mwi,7/26/19,1/15/20,substantially equivalent     (sese),cardiovascular,cardiovascular,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192004.pdf,traditional,no,no,,,
k192065,k173635,nan,nan,1,1,2,Multiple,"CT,PET,MR",deep learning,automated contouring of 3D and 4D images,0,0,0,,,"system, planning, radiation therapy treatment",syngo.via rt image suite,veronica  padharia,veronica  padharia,veronica  padharia,892.505,muj,8/1/19,9/18/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192065.pdf,traditional,no,no,,,
k192109,k172327;k172983,1149,nan,1,0,1,Knee,X-ray,machine learning,"IB Lab KOALA is a radiological fully-automated image processing software device of either computed (CR) or directly digital (DX) images intended to aid medical professionals in the measurement of minimum joint space width; the assessment of the presence or absence of sclerosis, joint space narrowing, and osteophytes based OARSI criteria for these parameters; and, the presence or absence of radiographic knee OA based on Kellgren & Lawrence Grading of standing, fixed-flexion radiographs of the knee. It should not be used in-lieu of full patient evaluation or solely relied upon to make or confirm a diagnosis. The system is to be used by trained professionals including, but not limited to, radiologists, orthopedics, physicians and medical technicians.",0,0,0,1,,"system, image processing, radiological",koala,richard  ljuhar,richard  ljuhar,john j smith,892.205,llz,8/5/19,11/5/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192109.pdf,traditional,no,no,,,
k192167,k182177,388,296,1,2,3,Head,CT,deep learning,curarad ich is a software workflow tool designed to aid in prioritizing the clinical assessment of adult non contrast head ct cases with features suggestive of acute intracranial hemorrhage curarad ich analyzes cases using deep learning algorithms to identify suspected ich findings it makes case level output available to a pacs workstation for worklist prioritization or triage curarad ich is not intended to direct attention to specific portions of an image or to anomalies other than acute ich its results are not intended to be used on a stand alone basis for clinical decision making nor is it intended to rule out hemorrhage or otherwise preclude clinical assessment of ct studies,1,0,0,1,vendors,radiological computer-assisted triage and notification software,curarad-ich,xiaoxiao  liu,xiaoxiao  liu,yarmela  pavlovic,892.208,qas,8/9/19,4/13/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192167.pdf,traditional,no,no,,,
k192287,den180005;k181704,nan,>1,2,2,4,Breast,FFDM,machine learning,,0,0,0,0,vendors,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,transpara,umar  waqas,umar  waqas,umar  waqas,892.209,qdq,8/22/19,12/10/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192287.pdf,traditional,no,no,,,
k192304,k183019,nan,nan,1,2,3,Brain,"MR,CT",machine learning,sis software is an application intended for use in the viewing presentation and documentation of medical imaging including different modules for image processing image fusion and intraoperative functional planning where the 3d output can be used with stereotactic image guided surgery or other devices for further processing and visualization the device can be used in conjunction with other clinical methods as an aid in visualization of the subthalamic nuclei stn typical users of the sis software are medical professionals including but not limited to surgeons neurologists and radiologists,0,0,0,,,"system, image processing, radiological",sis software version 3.6.0,ann  quinlan-smith,ann  quinlan-smith,kelliann  payne,892.205,llz,8/23/19,9/13/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192304.pdf,special,no,no,,,
k192320,k190362,554,nan,1,1,2,Chest,X-Ray,artificial intelligence,the zebra healthcxr device is a software workflow tool designed to aid the clinical assessment of adult chest x ray cases with features suggestive of pleural effusion in the medical care environment healthcxr analyzes cases using an artificial intelligence algorithm to identify suspected findings it makes case level output available to a pacs workstation for worklist prioritization or triage healthcxr is not intended to direct attention to specific portions or anomalies of an image its results are not intended to be used on a stand alone basis for clinical decision making nor is it intended to rule out pleural effusion or otherwise preclude clinical assessment of x ray cases,0,0,0,0,,radiological computer-assisted prioritization software for lesions,healthcxr,flair  bar,flair  bar,flair  bar,892.208,qfm,8/26/19,11/26/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192320.pdf,traditional,no,no,,,
k192383,k180647;den170073,383,3,1,2,3,Head,CTA,deep learning;artificial intelligence,briefcase is a radiological computer aided triage and notification software indicated for use in the analysis of head cta images the device is intended to assist hospital networks and trained radiologists in workflow triage by flagging and communication of suspected positive findings of large vessel occlusion lvo pathologies briefcase uses an artificial intelligence algorithm to analyze images and highlight cases with detected findings on a standalone desktop application in parallel to the ongoing standard of care image interpretation the user is presented with notifications for cases with suspected findings notifications include compressed preview images that are meant for informational purposes only and not intended for diagnostic use beyond notification the device does not alter the original medical image and is not intended to be used as a diagnostic device the results of briefcase are intended to be used in conjunction with other patient information and based on their professional judgment to assist with triage prioritization of medical images notified clinicians are responsible for viewing full images per the standard of care,1,0,0,0,slice thickness|artifacts|field of view,radiological computer-assisted triage and notification software,briefcase,nimrod  epstein,nimrod  epstein,john j. smith,892.208,qas,8/30/19,12/20/19,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192383.pdf,traditional,no,no,,,
k192574,k181593;k181953,160,nan,1,1,2,Multiple,MR,neural network;deep learning,,0,0,0,,,"system, nuclear magnetic resonance imaging","vantage galan 3t, mrt-3020, v6.0 with aice reconstruction processing unit for mr",paul  biggins,paul  biggins,paul  biggins,892.1,lnh,9/19/19,3/9/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192574.pdf,traditional,no,no,,,
k192828,k163213;k192188;k183046;k132813,nan,nan,1,1,2,Multi,CT,neural network,this device is indicated to acquire and display cross sectional volumes of the whole body to include the head with the capability to image whole organs in a single rotation whole organs include but are not limited to brain heart pancreas etc the aquilion one has the capability to provide volume sets of the entire organ these volume sets can be used to perform specialized studies using indicated software hardware of the whole organ by a trained and qualified physician first is an iterative reconstruction algorithm intended to reduce exposure dose and improve high contrast spatial resolution for abdomen pelvis chest cardiac extremities and head applications aice is a noise reduction algorithm that improves image quality and reduces image noise by employing deep convolutional neural network methods for abdomen pelvis lung cardiac brain inner ear and extremities applications the spectral imaging system allows the system to acquire two nearly simultaneous ct images of an anatomical location using distinct tube voltages and or tube currents by rapid kv switching the x ray dose will be the sum of the dose at each respective tube voltage and current in a rotation information regarding the material composition of various organs tissues and contrast materials may be gained from the differences in x ray attenuation between these distinct energies when used by a qualified physician a potential application is to determine the course of treatment,0,0,0,,vendors,"system, x-ray, tomography, computed",aquilion one (tsx-306a/3) v10.0 with spectral imaging system,paul  biggins,paul  biggins,orlando  tadeo,892.175,jak,10/2/19,2/13/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192828.pdf,traditional,no,no,,,
k192832,k172188;k183046,nan,nan,1,1,2,Multi,CT,neural network,this device is indicated to acquire and display cross sectional volumes of the whole body to include the head the aquilion prime sp has the capability to provide volume sets these volume sets can be used to perform specialized studies using indicated software hardware by a trained and qualified physician aice advanced intelligent clear iq engine is a noise reduction algorithm that improves image quality and reduces image noise by employing deep convolutional neural network methods for abdomen pelvis lung cardiac extremities head and inner ear applications,0,0,0,,,"system, x-ray, tomography, computed",aquilion prime sp (tsx-303b8) v10.2 with aice-i,paul  biggins,paul  biggins,orlando  tadeo,892.175,jak,10/2/19,2/21/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192832.pdf,traditional,no,no,,,
k192854,k181704,240,1,2,2,4,Breast,FFDM,deep learning;machine learning,,0,0,0,1,vendors,radiological computer assisted detection/diagnosis software for lesions suspicious for cancer,mammoscreen,quentin  de snoeck,quentin  de snoeck,cindy  domecus,892.209,qdq,10/4/19,3/25/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192854.pdf,traditional,no,no,,,
k192880,k161201,249,nan,1,1,2,Chest,CT,,,0,0,0,0,,"lung computed tomography system, computer-aided detection",inferread lung ct.ai,xiaoyan  fan,xiaoyan  fan,matt  deng,892.205,oeb,10/9/19,7/2/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192880.pdf,traditional,no,no,,,
k192901,k183285,611,nan,1,2,3,"Chest, Abdomen",CT,artificial intelligence,healthvcf is a passive notification for prioritization only parallel workflow software tool used by clinicians to prioritize specific patients within the standard of care bone health setting for suspected vertebral compression fractures healthvcf uses an artificial intelligence algorithm to analyze chest and abdominal ct scans and flags those that are suggestive of the presence of at least one vertebral compression at the exam level these flags are viewed by the clinician in bone health and fracture liaison service programs in the medical setting via a worklist application on their picture archiving and communication system pacs healthvcf does not send a proactive alert directly to the user healthvcf does not provide diagnostic information beyond triage and prioritization it does not remove cases from the radiology worklist and should not be used in place of full patient evaluation or relied upon to make or confirm diagnosis,0,0,0,0,,radiological computer-assisted prioritization software for lesions,healthvcf,flair  bar,flair  bar,flair  bar,892.208,qfm,10/15/19,5/12/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192901.pdf,traditional,no,no,,,
k192962,k121447;k180161,nan,nan,1,2,3,Head,CT,,icobrain ctp is an image processing software package to be used by trained professionals including but not limited to physicians and medical technicians the software runs on a standard off the shelf computer or a virtual platform such as vmware and can be used to perform image processing analysis and communication of computed tomography ct perfusion scans of the brain data and images are acquired through dicom compliant imaging devices icobrain ctp provides both analysis and communication capabilities for dynamic imaging datasets that are acquired with ct perfusion imaging protocols analysis includes calculation of parameters related to tissue flow perfusion and tissue blood volume results of image processing which include ct perfusion parameter maps generated from a raw ctp scan are exported in the standard dicom format and may be viewed on existing radiological imaging viewers,0,0,0,0,vendors,"system, image processing, radiological",icobrain-ctp,dirk  smeets,dirk  smeets,dirk  smeets,892.205,llz,10/22/19,2/28/20,substantially equivalent     (sese),radiology,radiology,http://www.accessdata.fda.gov/cdrh_docs/pdf19/k192962.pdf,traditional,no,no,,,
